pid,total_sent,unique_addresses_sent,unique_subjects_sent,total_received,unique_addresses_received,unique_subjects_received,total_emails,inter_hume_sent,inter_hume_received,inter_vt_sent,inter_vt_received,sent_to,sent_to_perc,sent_cc,sent_cc_perc,sent_bcc,sent_bcc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,rec_bcc,rec_bcc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,response_time_to,response_time_from,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,pg_load_centrality,fg_load_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths,pg_max_shortest_paths,fg_avg_shortest_paths,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,Status,GradStudent,Research,Director,PM,Outreach,Operations
adamq,0.0034934702586105837,0.017518549051937345,0.007434187076735068,0.0309242963240342,0.10230414746543778,0.046253752373950865,0.011107185633902335,0.1744186046511628,0.07142857142857142,0.85,0.20967741935483872,0.005242311276794035,0.903,0.0008580135506967662,0.1898238747553816,0.0,0.0,0.045707434052757796,0.916188045096788,0.0033579583613163196,0.08381195490321207,0.0,0.0,0.20782735918068765,0.47929999999999995,0.2176798584721804,0.23070527168967447,0.03491737584880091,0.014463096051825467,0.001962298812182953,0.3700063816209317,0.03519403332944878,0.669743358847366,0.0007836990595611285,0.044515494343334974,0.0024242424242424242,0.04993652137113838,0.012930043774878025,0.11685087771144867,0.041757239857002325,0.32238112058800705,0.153550071018508,0.0032083481867971613,0.011837655016910935,0.3473684210526316,0.10526315789473686,0.0030103211009174314,0.7374868743437172,0.00416,0.17997517583781547,0.009899541597581196,0.1297405189620759,0.0,0.0,0.0,0.3921568627450981,0.0,1.0,0.0,0.12457912457912461,0.0,0.24242424242424243,0.0,0.0,0.0,0.0973085520554458,0.0,0.0,0.0,0.0,0.46170404061044923,0.0,0.0,0.009487751933719308,0.0,0.0,0.0023615329841762374,0.0023615329717093458,0.0,0.0,0.787878787878788,1.0,0.0,0.0,GradStudent,1,0,0,0,0,0
ajm,0.008381984009753582,0.029472382522671065,0.014613778705636743,0.043499968794857395,0.0847926267281106,0.04355816945414446,0.018173044609697462,0.5465116279069767,0.6571428571428571,0.74,0.7580645161290323,0.010504038521279901,0.7556,0.005177667978342555,0.4782778864970646,0.0,0.0,0.04541966426858513,0.3265262710061689,0.03769308260577569,0.6734737289938311,0.0,0.0,0.34817117776152157,0.738325,0.37063923150750916,0.07042461582128143,0.15167033797130988,0.0022599007185844363,0.00041751038557084105,0.004339502233567326,0.013052091830788952,0.17784781629896443,0.0011755485893416929,0.0076242006886374876,0.018585858585858588,0.2746508675412611,0.06360808424835714,0.3353799939504143,0.1393219606996329,0.28387498041061354,0.34673070861889255,0.009398191658294714,0.0392083176750595,0.43157894736842106,0.7631578947368421,0.007071865443425076,0.7234861743087154,0.00784,0.14149772445179976,0.03559933677947918,0.6518629407850965,0.6774572934414752,0.0,0.8050847457627118,0.25098039215686263,1.0,0.5242171660283848,0.5555555555555556,0.5486782720825272,0.13333333333333336,0.696969696969697,0.4519620536887023,0.0100791024214471,0.04667725044527871,0.6183017770922261,0.07831603899990235,0.0,0.6774572934414752,0.6861851332398318,0.18228524652913763,0.6666666666666666,0.061412770998789654,0.08677004449836152,0.024968570160821983,0.024968570078556133,0.03879064975757252,0.03879064957720141,0.9152542372881358,0.6666666666666666,0.30303030303030315,0.0,0.037037037037037035,0.2413793103448276,Director,0,0,1,0,0,0
apoetter,0.241752831117676,0.10305028854080792,0.1977697438769795,0.6337140360731448,0.4009216589861751,0.5272315138148624,0.35268976570645666,0.45348837209302323,0.32857142857142857,0.88,0.7580645161290323,0.2479224914569742,0.6192,0.23237373886801385,0.7452054794520548,0.0,0.0,0.7286810551558753,0.46458200382897247,0.4295668233713902,0.5354179961710274,0.0,0.0,0.5959765910753475,0.21389999999999998,0.6368106356324209,0.10249391214401256,0.11565157945187962,0.00797725011802971,0.03438198025175876,0.07070835992342053,0.383288660995222,0.3642503376857272,0.08137408568443051,0.0944417117560256,0.2783838383838384,0.286923402454507,0.24595683107493968,0.6455672877342912,0.3589510304949735,0.23813913696548514,0.1687876476401873,0.3939138607123181,0.49542778404108734,0.6210526315789474,0.6052631578947368,0.1653446738022426,0.5873293664683233,0.26928,0.16880430285477865,0.5132644104164634,0.6533599467731205,0.5584432019740446,1.0,0.42314436002337813,0.06574394463667867,0.38461538461538464,0.11749958214942313,0.9677419354838709,0.9441786283891542,0.9666666666666668,0.9696969696969697,0.97840335535344,0.6429643063425541,0.8963402697738064,0.9992715252069632,0.970575814511228,1.0,0.5584432019740445,0.3659025688898109,0.008058116973627263,0.6666666666666666,0.5484395277167691,0.4630116769871326,0.2915993785911166,0.2915993782698487,0.29163757168516347,0.29163757101179366,0.5254237288135595,0.6666666666666666,0.030303030303030436,0.0,0.8518518518518519,0.9655172413793104,PM,0,0,0,1,0,0
arog3632,0.040151461864903516,0.0690436933223413,0.05962625388258058,0.1531548399176184,0.3313364055299539,0.17815352569993262,0.07180463761622045,0.22093023255813954,0.11428571428571428,0.74,0.3064516129032258,0.05531609195402299,0.8316,0.017071510991449452,0.32954990215264185,0.0,0.0,0.2132853717026379,0.8002552648372687,0.0388683680322364,0.1997447351627313,0.0,0.0,0.37713972201901974,0.059699999999999975,0.24272002934708997,0.15457210568624058,0.038876752562605206,0.02881525886201493,0.011523286641755214,0.17434588385449903,0.13425008740240066,0.5258892390814949,0.00672675026123302,0.019921298573536646,0.018787878787878787,0.0799830723656369,0.042651775546663606,0.16346397888903183,0.07646632596751361,0.22951419272952128,0.2098830921944449,0.03898629160320187,0.06852060628836278,0.3684210526315789,0.15789473684210525,0.03340022935779816,0.7141523742853809,0.02,0.07550682664460075,0.0858285379888813,0.38672654690618763,0.005586873333364923,0.0,0.6591337099811676,0.4375644994840038,1.0,0.8994209082596772,0.588235294117647,0.3322109988776654,0.30000000000000004,0.5151515151515151,0.5316591347442189,0.17659199128425773,0.16933964273765167,0.4016106377880411,0.24369047675837135,0.0,0.005586873333364921,0.7142232712649706,0.23536204116206538,0.6666666666666666,0.0829774668788346,0.05570032883739712,0.020068622452467287,0.020068622429489334,0.023168613033534447,0.023168612969885084,0.8644067796610171,0.6666666666666666,0.5151515151515152,1.0,0.037037037037037035,0.06896551724137931,GradStudent,1,0,0,0,0,0
bdeird7,0.0600220393425711,0.1442704039571311,0.10423137634299098,0.15533919990014355,0.315668202764977,0.20572198737977088,0.08701346821655996,0.16279069767441862,0.12857142857142856,0.77,0.0,0.08946877912395154,0.8998,0.015177963845084174,0.19608610567514675,0.0,0.0,0.22676258992805756,0.8927887683471601,0.021155137676292814,0.10721123165283981,0.0,0.0,0.32613386978785663,0.06842500000000001,0.45158418523352817,0.3008479644426918,0.689235716277875,0.025858467738946563,0.08638289877460702,1.0,0.2589441790001165,1.0,0.020963949843260186,0.10009837678307922,0.04565656565656566,0.19128226830300463,0.07099444194866115,0.18461666834710713,0.10313395235010436,0.30775955448853554,0.11090037318470752,0.03833814045435396,0.06908430414631091,0.24210526315789477,0.15789473684210525,0.04418323139653415,0.6320149340800373,0.04112,0.10384774513860158,0.048376085048278554,0.1229208250166334,0.16287786054418807,0.012129380053908356,0.5898305084745762,0.20392156862745084,0.8571428571428571,0.49177742734850177,0.5999999999999999,0.5138888888888887,0.3333333333333334,0.696969696969697,0.557247641279858,0.1294660175266709,0.1686094141972533,0.6000349362930223,0.25210186582442573,0.012129380053908359,0.16287786054418807,0.7004608294930875,0.21822663452174418,0.6666666666666666,0.09351969441856628,0.0767535638716635,0.01948083912409947,0.019480839103694945,0.0181847665738143,0.018184766539723358,0.8474576271186443,0.6666666666666666,0.3333333333333333,1.0,0.07407407407407407,0.3448275862068966,GradStudent,1,0,0,0,0,0
brosiekn,0.0,0.0,0.0,0.0,0.0018433179723502304,0.0001837897445322551,0.0,0.0,1.0,0.0,0.9516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228036587960007,0.000167897918065816,0.17719634120399913,0.0,0.0,0.0,1.0,0.0,0.20285432865218608,0.0,0.004049308783126488,0.0,0.0,0.0001165365342034728,0.09387663214768123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071729155893457,0.0,0.0,0.0,0.0,0.0,7.082992816968596e-05,7.082992778483737e-05,0.0,0.0,1.0,1.0,0.0,0.0,GradStudent,1,0,0,0,0,0
ccallsen,0.26492930998100866,0.30420445177246497,0.24334232903915679,0.5335767334456718,0.47788018433179724,0.3474238804141396,0.342073743440384,0.4186046511627907,0.42857142857142855,0.77,0.6290322580645161,0.2709304131717925,0.6174,0.25580638480428414,0.7487279843444227,0.0,0.0,0.5461390887290168,0.2901510316953839,0.47968435191403624,0.709848968304616,0.0,0.0,0.4598756400877835,0.1708,0.4548639396005152,0.05111004831719297,0.1028013233397196,0.009209840596262467,0.04116652401728493,0.08015315890236119,0.18296235869945227,0.20643854119765873,0.08157001044932079,0.08189867191342845,0.18464646464646464,0.22598391874735507,0.2661321917736661,0.5368138153068426,0.3437587274166847,0.14817888151487918,0.2315364441060039,0.24551965518358881,0.4090567455843668,0.3578947368421053,0.5789473684210527,0.27027586646279306,0.8759771321899429,0.31216,0.17852709971038477,0.6062128157612406,1.0,0.01821787790824233,0.04748267231420871,0.5563310069790627,0.3776641091219098,0.7619047619047619,0.8306439674315319,0.6976744186046511,0.48051948051948046,0.5666666666666667,0.6363636363636364,0.9460439195935574,0.20347127751789848,0.4970293681196275,0.5748765318418446,0.6090644347633324,0.0474826723142087,0.018217877908242315,0.5394890817160143,0.22113457748813498,0.6666666666666666,0.39945770120555774,0.3761932046822352,0.4407762653347293,0.4407762640721249,0.4408925102777469,0.44089250763646604,0.728813559322034,0.6666666666666666,0.36363636363636376,0.0,0.2222222222222222,0.1724137931034483,Outreach,0,0,0,0,1,0
cdusold,7.033832735457551e-05,0.0006183017312448475,0.00015275726870003564,0.0,0.0,0.0,5.1701407139964326e-05,1.0,1.0,1.0,0.9516129032258065,0.00013591177384280833,1.0,0.0,0.0,0.0,0.0,9.592326139088728e-05,1.0,0.0,0.0,0.0,0.0,0.182882223847842,0.125,0.4378984749055136,0.18188871430303316,0.03362708824231695,0.002032348324235746,6.262655783562615e-05,0.5157626037013401,0.0,0.0,0.00019592476489028212,1.0,0.0,0.0,0.00018021876991548,0.0016410370519742857,0.0005854267136927469,0.00039053601067465097,1.0,0.0,0.0,0.0,0.7894736842105264,9.556574923547401e-05,1.0,0.0,0.0,0.00024383107383204916,0.34647371922821024,0.0,0.0,0.0,0.6078431372549019,0.0,1.0,0.0,0.032976827094474026,0.0,0.030303030303030328,0.0,0.0,0.0,0.004316872263729165,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007407759805953769,0.0,0.0,0.0,0.0,0.0,0.0,0.9393939393939393,1.0,0.0,0.0,GradStudent,1,0,0,0,0,0
cheadley,0.025544535884270005,0.03792250618301731,0.037731045368908804,0.07230231542158147,0.08894009216589861,0.07731421919990197,0.03874158775021327,0.5813953488372093,0.9,0.92,0.8709677419354839,0.03217225846536191,0.7601,0.015473830586703749,0.4694716242661448,0.0,0.0,0.0841726618705036,0.4875558391831525,0.047347212894560106,0.5124441608168475,0.0,0.0,0.37313460131675197,0.32067500000000004,0.2264094656132392,0.07013683191498196,0.04042804136926185,0.0026853641689520034,0.008767718096987663,0.2146777281429483,0.05080992891271414,0.4191805493021162,0.01991901776384535,0.28996556812592233,0.07292929292929293,0.6525603046974185,0.02604683598524818,0.07446553300674842,0.03969672976798868,0.2833348555892963,0.6474311595729169,0.01380561947046051,0.05229863459852186,0.2105263157894737,0.5263157894736842,0.02551605504587156,0.8574262046435656,0.01088,0.06454282167976831,0.051155759289963916,0.5395874916833001,0.15346047279922187,0.034159607239122064,0.5988700564971752,0.2061986084756482,0.7424242424242424,0.3935526685214018,0.6521739130434782,0.7930524759793051,0.40000000000000013,0.8787878787878788,0.7343356775216536,0.061091631057618424,0.26606423106979893,0.9335360877061077,0.39755723032250617,0.03415960723912208,0.15346047279922181,0.5383716563034678,0.06501014622917478,0.6666666666666666,0.1343449679772196,0.1297206548188131,0.03189585276849079,0.03189585272566367,0.03644627463481621,0.03644627453183623,0.7796610169491527,0.6666666666666666,0.12121212121212126,0.0,0.25925925925925924,0.8620689655172413,Research,0,1,0,0,0,0
cthomp,0.05598930857424211,0.057914262159934046,0.04389225520647691,0.28780503026898835,0.10875576036866359,0.2970042271641242,0.12062799975872676,0.6511627906976745,0.5428571428571428,0.99,1.0,0.07354768561665113,0.793,0.02926122074617592,0.4050880626223092,0.0,0.0,0.25611510791366904,0.10636034886194413,0.3261417058428476,0.8936396511380557,0.0,0.0,0.9978785662033651,0.20382499999999998,0.4226949030865165,0.0395926465249809,0.09363513385108964,0.0009114463265866771,0.010124626850092897,0.09827696234843651,0.17142524181330848,0.35817199459702836,0.02893155694879833,0.17388096409247422,0.22101010101010102,0.5006347862886161,0.056151206159825315,0.28937532812049105,0.12114398138151106,0.3653381035471184,0.35729824857017867,0.06941698804161131,0.22322435174746336,0.4736842105263158,0.6052631578947368,0.0277618501529052,0.4257379535643449,0.13056,0.3533305750930906,0.23744269969764947,0.6684963406520293,0.1487967905939448,0.07364266461301501,0.586864406779661,0.24473493100944088,0.725,0.4893264248704663,0.7142857142857142,0.6228956228956227,0.5333333333333334,0.7575757575757575,0.9284108283637488,0.10663081842408634,0.4854843973439913,0.7189313437801532,0.6339372122331057,0.07364266461301505,0.14879679059394474,0.5442685564401086,0.11658776667484448,0.6666666666666666,0.3132515124753767,0.2937338205251128,0.3424312520361295,0.34243125100516053,0.3420800860722538,0.3420800839188902,0.7118644067796611,0.6666666666666666,0.24242424242424251,0.0,0.2962962962962963,0.3793103448275862,Director,0,0,1,0,0,0
