@relation test_norm_email_features_4

@attribute total_sent numeric
@attribute unique_addresses_sent numeric
@attribute unique_subjects_sent numeric
@attribute total_received numeric
@attribute unique_addresses_received numeric
@attribute unique_subjects_received numeric
@attribute total_emails numeric
@attribute inter_hume_sent numeric
@attribute inter_hume_received numeric
@attribute inter_vt_sent numeric
@attribute inter_vt_received numeric
@attribute sent_to numeric
@attribute sent_to_perc numeric
@attribute sent_cc numeric
@attribute sent_cc_perc numeric
@attribute sent_bcc numeric
@attribute sent_bcc_perc numeric
@attribute rec_to numeric
@attribute rec_to_perc numeric
@attribute rec_cc numeric
@attribute rec_cc_perc numeric
@attribute rec_bcc numeric
@attribute rec_bcc_perc numeric
@attribute avg_recipients_sent numeric
@attribute avg_recipients_rec numeric
@attribute avg_body_chars_sent numeric
@attribute avg_body_chars_rec numeric
@attribute var_body_chars_sent numeric
@attribute var_body_chars_rec numeric
@attribute after_hours_sent numeric
@attribute after_hours_sent_perc numeric
@attribute after_hours_rec numeric
@attribute after_hours_rec_perc numeric
@attribute after_hours_sent_hume numeric
@attribute after_hours_sent_hume_perc numeric
@attribute after_hours_rec_hume numeric
@attribute after_hours_rec_hume_perc numeric
@attribute avg_sent_per_day numeric
@attribute avg_rec_per_day numeric
@attribute avg_emails_per_day numeric
@attribute response_time_to numeric
@attribute response_time_from numeric
@attribute attached_sent numeric
@attribute attached_rec numeric
@attribute avg_attachments_sent numeric
@attribute avg_attachments_rec numeric
@attribute sent_re numeric
@attribute sent_re_perc numeric
@attribute sent_fw numeric
@attribute sent_fw_perc numeric
@attribute rec_re numeric
@attribute rec_re_perc numeric
@attribute fg_between_centrality numeric
@attribute pg_between_centrality numeric
@attribute pg_avg_neighbor_degree numeric
@attribute fg_avg_neighbor_degree numeric
@attribute pg_clustering numeric
@attribute fg_clustering numeric
@attribute pg_closeness_centrality numeric
@attribute fg_closeness_centrality numeric
@attribute pg_degree_centrality numeric
@attribute fg_degree_centrality numeric
@attribute pg_current_flow_closeness_centrality numeric
@attribute pg_current_flow_betweenness_centrality numeric
@attribute pg_communicability_centrality numeric
@attribute fg_communicability_centrality numeric
@attribute pg_communicability_betweenness_centrality numeric
@attribute pg_load_centrality numeric
@attribute fg_load_centrality numeric
@attribute pg_square_clustering numeric
@attribute fg_square_clustering numeric
@attribute pg_eccentricity numeric
@attribute pg_pagerank numeric
@attribute fg_pagerank numeric
@attribute pg_hubs numeric
@attribute pg_authorities numeric
@attribute fg_hubs numeric
@attribute fg_authorities numeric
@attribute pg_avg_shortest_paths numeric
@attribute pg_max_shortest_paths numeric
@attribute fg_avg_shortest_paths numeric
@attribute fg_max_shortest_paths numeric
@attribute pg_num_cliques numeric
@attribute fg_num_cliques numeric
@attribute Status {GradStudent,Director,PM,Outreach,Research,Operations}

@data
0.003493,0.017519,0.007434,0.030924,0.102304,0.046254,0.011107,0.174419,0.071429,0.85,0.209677,0.005242,0.903,0.000858,0.189824,0,0,0.045707,0.916188,0.003358,0.083812,0,0,0.207827,0.4793,0.21768,0.230705,0.034917,0.014463,0.001962,0.370006,0.035194,0.669743,0.000784,0.044515,0.002424,0.049937,0.01293,0.116851,0.041757,0.322381,0.15355,0.003208,0.011838,0.347368,0.105263,0.00301,0.737487,0.00416,0.179975,0.0099,0.129741,0,0,0,0.392157,0,1,0,0.124579,0,0.242424,0,0,0,0.097309,0,0,0,0,0.461704,0,0,0.009488,0,0,0.002362,0.002362,0,0,0.787879,1,0,0,GradStudent
0.008382,0.029472,0.014614,0.0435,0.084793,0.043558,0.018173,0.546512,0.657143,0.74,0.758065,0.010504,0.7556,0.005178,0.478278,0,0,0.04542,0.326526,0.037693,0.673474,0,0,0.348171,0.738325,0.370639,0.070425,0.15167,0.00226,0.000418,0.00434,0.013052,0.177848,0.001176,0.007624,0.018586,0.274651,0.063608,0.33538,0.139322,0.283875,0.346731,0.009398,0.039208,0.431579,0.763158,0.007072,0.723486,0.00784,0.141498,0.035599,0.651863,0.677457,0,0.805085,0.25098,1,0.524217,0.555556,0.548678,0.133333,0.69697,0.451962,0.010079,0.046677,0.618302,0.078316,0,0.677457,0.686185,0.182285,0.666667,0.061413,0.08677,0.024969,0.024969,0.038791,0.038791,0.915254,0.666667,0.30303,0,0.037037,0.241379,Director
0.241753,0.10305,0.19777,0.633714,0.400922,0.527232,0.35269,0.453488,0.328571,0.88,0.758065,0.247922,0.6192,0.232374,0.745205,0,0,0.728681,0.464582,0.429567,0.535418,0,0,0.595977,0.2139,0.636811,0.102494,0.115652,0.007977,0.034382,0.070708,0.383289,0.36425,0.081374,0.094442,0.278384,0.286923,0.245957,0.645567,0.358951,0.238139,0.168788,0.393914,0.495428,0.621053,0.605263,0.165345,0.587329,0.26928,0.168804,0.513264,0.65336,0.558443,1,0.423144,0.065744,0.384615,0.1175,0.967742,0.944179,0.966667,0.969697,0.978403,0.642964,0.89634,0.999272,0.970576,1,0.558443,0.365903,0.008058,0.666667,0.54844,0.463012,0.291599,0.291599,0.291638,0.291638,0.525424,0.666667,0.030303,0,0.851852,0.965517,PM
0.040151,0.069044,0.059626,0.153155,0.331336,0.178154,0.071805,0.22093,0.114286,0.74,0.306452,0.055316,0.8316,0.017072,0.32955,0,0,0.213285,0.800255,0.038868,0.199745,0,0,0.37714,0.0597,0.24272,0.154572,0.038877,0.028815,0.011523,0.174346,0.13425,0.525889,0.006727,0.019921,0.018788,0.079983,0.042652,0.163464,0.076466,0.229514,0.209883,0.038986,0.068521,0.368421,0.157895,0.0334,0.714152,0.02,0.075507,0.085829,0.386727,0.005587,0,0.659134,0.437564,1,0.899421,0.588235,0.332211,0.3,0.515152,0.531659,0.176592,0.16934,0.401611,0.24369,0,0.005587,0.714223,0.235362,0.666667,0.082977,0.0557,0.020069,0.020069,0.023169,0.023169,0.864407,0.666667,0.515152,1,0.037037,0.068966,GradStudent
0.060022,0.14427,0.104231,0.155339,0.315668,0.205722,0.087013,0.162791,0.128571,0.77,0,0.089469,0.8998,0.015178,0.196086,0,0,0.226763,0.892789,0.021155,0.107211,0,0,0.326134,0.068425,0.451584,0.300848,0.689236,0.025858,0.086383,1,0.258944,1,0.020964,0.100098,0.045657,0.191282,0.070994,0.184617,0.103134,0.30776,0.1109,0.038338,0.069084,0.242105,0.157895,0.044183,0.632015,0.04112,0.103848,0.048376,0.122921,0.162878,0.012129,0.589831,0.203922,0.857143,0.491777,0.6,0.513889,0.333333,0.69697,0.557248,0.129466,0.168609,0.600035,0.252102,0.012129,0.162878,0.700461,0.218227,0.666667,0.09352,0.076754,0.019481,0.019481,0.018185,0.018185,0.847458,0.666667,0.333333,1,0.074074,0.344828,GradStudent
0,0,0,0,0.001843,0.000184,0,0,1,0,0.951613,0,0,0,0,0,0,0,0.822804,0.000168,0.177196,0,0,0,1,0,0.202854,0,0.004049,0,0,0.000117,0.093877,0,0,0,0,0,0,0,0,0,0,0,0,0.789474,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.307173,0,0,0,0,0,0.000071,0.000071,0,0,1,1,0,0,GradStudent
0.264929,0.304204,0.243342,0.533577,0.47788,0.347424,0.342074,0.418605,0.428571,0.77,0.629032,0.27093,0.6174,0.255806,0.748728,0,0,0.546139,0.290151,0.479684,0.709849,0,0,0.459876,0.1708,0.454864,0.05111,0.102801,0.00921,0.041167,0.080153,0.182962,0.206439,0.08157,0.081899,0.184646,0.225984,0.266132,0.536814,0.343759,0.148179,0.231536,0.24552,0.409057,0.357895,0.578947,0.270276,0.875977,0.31216,0.178527,0.606213,1,0.018218,0.047483,0.556331,0.377664,0.761905,0.830644,0.697674,0.480519,0.566667,0.636364,0.946044,0.203471,0.497029,0.574877,0.609064,0.047483,0.018218,0.539489,0.221135,0.666667,0.399458,0.376193,0.440776,0.440776,0.440893,0.440893,0.728814,0.666667,0.363636,0,0.222222,0.172414,Outreach
0.00007,0.000618,0.000153,0,0,0,0.000052,1,1,1,0.951613,0.000136,1,0,0,0,0,0.000096,1,0,0,0,0,0.182882,0.125,0.437898,0.181889,0.033627,0.002032,0.000063,0.515763,0,0,0.000196,1,0,0,0.00018,0.001641,0.000585,0.000391,1,0,0,0,0.789474,0.000096,1,0,0,0.000244,0.346474,0,0,0,0.607843,0,1,0,0.032977,0,0.030303,0,0,0,0.004317,0,0,0,0,1,0,0,0.000741,0,0,0,0,0,0,0.939394,1,0,0,GradStudent
0.025545,0.037923,0.037731,0.072302,0.08894,0.077314,0.038742,0.581395,0.9,0.92,0.870968,0.032172,0.7601,0.015474,0.469472,0,0,0.084173,0.487556,0.047347,0.512444,0,0,0.373135,0.320675,0.226409,0.070137,0.040428,0.002685,0.008768,0.214678,0.05081,0.419181,0.019919,0.289966,0.072929,0.65256,0.026047,0.074466,0.039697,0.283335,0.647431,0.013806,0.052299,0.210526,0.526316,0.025516,0.857426,0.01088,0.064543,0.051156,0.539587,0.15346,0.03416,0.59887,0.206199,0.742424,0.393553,0.652174,0.793052,0.4,0.878788,0.734336,0.061092,0.266064,0.933536,0.397557,0.03416,0.15346,0.538372,0.06501,0.666667,0.134345,0.129721,0.031896,0.031896,0.036446,0.036446,0.779661,0.666667,0.121212,0,0.259259,0.862069,Research
0.055989,0.057914,0.043892,0.287805,0.108756,0.297004,0.120628,0.651163,0.542857,0.99,1,0.073548,0.793,0.029261,0.405088,0,0,0.256115,0.10636,0.326142,0.89364,0,0,0.997879,0.203825,0.422695,0.039593,0.093635,0.000911,0.010125,0.098277,0.171425,0.358172,0.028932,0.173881,0.22101,0.500635,0.056151,0.289375,0.121144,0.365338,0.357298,0.069417,0.223224,0.473684,0.605263,0.027762,0.425738,0.13056,0.353331,0.237443,0.668496,0.148797,0.073643,0.586864,0.244735,0.725,0.489326,0.714286,0.622896,0.533333,0.757576,0.928411,0.106631,0.485484,0.718931,0.633937,0.073643,0.148797,0.544269,0.116588,0.666667,0.313252,0.293734,0.342431,0.342431,0.34208,0.34208,0.711864,0.666667,0.242424,0,0.296296,0.37931,Director
